Município;Ano;Produtividade media;Operação com máquinas;Mão-de-obra temporária;Sementes       ;Fertilizantes  ;Defensivos     ;Juros
Inhumas;2007;2500;345,80;395,57;100,00;164,66;73,80;11,37
Inhumas;2008;2500;403,10;442,96;105,00;255,00;70,80;13,62
Inhumas;2009;2500; 330,75 ; 480,64 ; 91,50 ; 222,33 ; 66,41 ; 12,17 
Inhumas;2010;2500; 325,96 ; 449,03 ; 115,20 ; 170,00 ; 67,50 ; 13,49 
Inhumas;2011;2500; 449,96 ; 459,05 ; 74,00 ; 188,84 ; 78,00 ; 15,20 
Inhumas;2012;2500; 449,96 ; 524,24 ; 74,00 ; 275,60 ; 78,00 ; 16,51 
Inhumas;2013;2500; 507,97 ; 534,14 ; 78,00 ; 286,40 ; 82,50 ; 17,87 
Inhumas;2014;2500; 509,30 ; 541,42 ; 80,00 ; 306,56 ; 90,00 ; 18,52 
Itapuranga;2007;2200;389,60;162,34;80,00;139,40;0,00;9,11
Itapuranga;2008;2200;429,60;181,60;84,00;230,67;0,00;10,89
Itapuranga;2009;2200; 491,28 ; 202,69 ; 72,00 ; 206,95 ; -   ; 11,74 
Itapuranga;2010;2200; 566,64 ; 205,38 ; 100,00 ; 160,00 ; -   ; 12,02 
Itapuranga;2011;2200; 636,64 ; 232,13 ; 110,00 ; 190,00 ; -   ; 13,92 
Itapuranga;2012;2200; 653,30 ; 234,03 ; 140,00 ; 194,00 ; -   ; 14,38 
Itapuranga;2013;2200; 706,62 ; 274,10 ; 140,00 ; 210,00 ; -   ; 14,96 
Itapuranga;2014;2200; 724,97 ; 297,71 ; 140,00 ; 264,00 ; -   ; 17,26 
Pameiras de Goiás;2007;2500;424,60;114,93;87,00;148,66;101,15;12,39
Pameiras de Goiás;2008;2500;460,10;135,07;126,00;235,16;97,85;11,44
Pameiras de Goiás;2009;2500; 553,78 ; 146,83 ; 108,00 ; 260,00 ; 96,48 ; 13,19 
Pameiras de Goiás;2010;2500; 516,10 ; 158,45 ; 120,00 ; 247,00 ; 127,10 ; 13,08 
Pameiras de Goiás;2011;2500; 552,83 ; 171,43 ; 138,75 ; 314,41 ; 116,31 ; 14,52 
Pameiras de Goiás;2012;2500; 601,40 ; 144,64 ; 150,00 ; 383,14 ; 129,78 ; 16,45 
Pameiras de Goiás;2013;2500; 570,80 ; 141,36 ; 187,50 ; 402,50 ; 138,25 ; 16,76 
Pameiras de Goiás;2014;2500; 579,80 ; 146,88 ; 198,75 ; 421,00 ; 154,75 ; 17,39 
Piranhas;2007;2500;192,60;496,24;85,00;286,95;53,00;11,27
Piranhas;2008;2500;204,60;555,56;105,00;435,95;50,48;13,93
Piranhas;2009;2500; 206,28 ; 632,09 ; 91,50 ; 447,37 ; 44,27 ; 14,36 
Piranhas;2010;2500; 259,40 ; 480,07 ; 91,50 ; 140,00 ; 36,40 ; 11,25 
Piranhas;2011;2500; 260,20 ; 534,99 ; 110,00 ; 160,95 ; 40,00 ; 12,30 
Piranhas;2012;2500; 275,20 ; 581,87 ; 125,00 ; 208,00 ; 42,00 ; 13,97 
Piranhas;2013;2500; 275,20 ; 620,51 ; 125,00 ; 232,40 ; 45,00 ; 14,66 
Piranhas;2014;2500; 277,20 ; 679,08 ; 130,00 ; 256,50 ; 64,00 ; 15,54 
Arari;2007;2500;0,00;692,47;42,00;0,00;51,10;0,00
Arari;2008;2500;0,00;817,07;43,05;0,00;61,00;30,27
Arari;2009;2500; -   ; 909,48 ; 43,75 ; -   ; 62,00 ; 29,67 
Arari;2010;2500; -   ; 999,06 ; 45,50 ; -   ; 59,80 ; 30,21 
Arari;2011;2500; -   ; 1.123,01 ; 47,25 ; -   ; 55,80 ; 41,02 
Arari;2012;2500; -   ; 1.109,71 ; 47,25 ; -   ; 65,80 ; 32,50 
Arari;2013;2500; -   ; 1.248,43 ; 52,50 ; -   ; 60,80 ; 31,08 
Arari;2014;2500; -   ; 1.338,63 ; 52,50 ; -   ; 64,00 ; 44,98 
Bacabal;2007;3000;400,00;670,09;60,00;0,00;56,00;68,28
Bacabal;2008;3000;250,00;697,86;90,00;0,00;70,00;25,73
Bacabal;2009;3000; 250,00 ; 727,09 ; 90,00 ; -   ; 70,00 ; 26,50 
Bacabal;2010;3000; 250,00 ; 792,87 ; 34,50 ; -   ; 70,00 ; 26,39 
Bacabal;2011;3000; 250,00 ; 895,10 ; 39,00 ; -   ; 98,00 ; 29,75 
Bacabal;2012;3000; 272,50 ; 914,43 ; 40,50 ; -   ; 100,63 ; 30,78 
Bacabal;2013;3000; 300,00 ; 1.050,24 ; 40,50 ; -   ; 105,00 ; 34,54 
Bacabal;2014;3000; 315,00 ; 1.140,34 ; 45,00 ; -   ; 87,50 ; 36,60 
Balsas;2007;2400;167,08;6,40;86,45;381,72;123,93;35,73
Balsas;2008;2400;171,33;6,80;94,25;704,10;114,78;50,35
Balsas;2009;2400;217,39;8,00;110,50;594,42;127,22;40,14
Balsas;2010;2400;152,92;6,46;104,00;457,15;83,37;106,17
Balsas;2011;2400;157,53;7,60;110,50;433,20;69,19;114,33
Balsas;2012;2400;162,15;8,00;110,50;433,20;83,13;111,54
Balsas;2013;2400;206,08;1,05;130,00;432,00;116,50;27,54
Balsas;2014;2400;234,19;1,40;130,00;545,80;133,33;32,99
Balsas;2015;2400;289,75;2,39;130,00;607,18;165,21;40,62
Balsas;2016;2400;282,67;2,39;169,00;636,00;170,69;42,91
Balsas;2017;2400;319,17;2,59;169,00;533,15;175,77;41,61
Balsas;2018;2400;358,05;2,39;182,00;520,00;181,88;42,10
Balsas;2019;2400;344,41;2,39;182,00;728,40;206,78;48,56
Balsas;2020;2400;356,29;2,39;211,25;684,29;201,00;31,73
Balsas;2021;2400;412,0400;2,3900;487,5000;1.098,1900;282,8600;27,9800
Balsas;2022;2400;591,6400;4,7900;552,5000;2.268,1700;316,8500;154,9800
Sorriso;2007;4000;146,21;4,23;108,00;555,33;177,38;43,52
Sorriso;2008;4000;147,42;4,23;108,00;747,87;171,91;46,70
Sorriso;2009;4000;164,62;27,92;120,00;820,00;181,07;50,98
Sorriso;2010;3600; 85,35 ; -   ; 120,00 ; 472,87 ; 301,77 ; 38,71 
Sorriso;2011;3600;86,83;0,00;144,00;468,17;275,93;49,67
Sorriso;2012;3600;91,93;0,00;157,60;665,91;342,79;57,04
Sorriso;2013;3600;80,63;9,38;172,80;704,62;339,35;45,45
Sorriso;2014;3600;168,14;0,00;240,00;706,95;470,38;56,42
Sorriso;2015;3600;185,60;0,00;276,00;918,50;639,61;84,64
Sorriso;2016;3600;199,73;0,00;288,00;765,16;591,03;86,93
Sorriso;2017;3600;205,16;0,00;312,00;794,00;617,86;86,88
Sorriso;2018;3600;211,18;0,00;312,00;739,90;550,79;76,30
Sorriso;2019;3600;215,01;0,00;336,00;873,15;599,59;76,40
Sorriso;2020;3250;247,46;0,00;320,00;929,85;660,86;65,78
Sorriso;2021;3250;250,1100;0,0000;300,0000;1.464,9500;804,7700;41,2600
Sorriso;2022;3250;418,9600;0,0000;710,0000;2.992,1600;1.243,0100;370,3500
