Município;Tipo;Ano;Produtividade media;Operação com máquinas;Mão-de-obra temporária;Sementes       ;Fertilizantes  ;Defensivos     ;Juros
Luiz Eduardo Magalhães;Arábica;2006;3300;999,85;0;0;2444,83;1361,73;552,48
Luiz Eduardo Magalhães;Arábica;2007;3300;999,85;0;0;2765,79;1281,25;482,19
Luiz Eduardo Magalhães;Arábica;2008;3300;999,85;0;0;3976,75;1127,4;593,09
Luiz Eduardo Magalhães;Arábica;2009;3000;2642,73;477;0;3256,58;1338,6;385,617152
Luiz Eduardo Magalhães;Arábica;2010;3000;2928,15;399,1;0;2610,52;1112,88;310,4567059
Luiz Eduardo Magalhães;Arábica;2011;3000;1368,03;360;0;3627,07;938,67;208,554901
Luiz Eduardo Magalhães;Arábica;2012;3000;2848,79;478,91;0;3521,8;994,1;302,4712271
Luiz Eduardo Magalhães;Arábica;2013;3000;1012,86;199,55;0;2452,46;1027,41;263,9039707
Luiz Eduardo Magalhães;Arábica;2014;3000;3841,78;266,06;0;2674,5;1046,72;564,4602656
Luiz Eduardo Magalhães;Arábica;2015;3000;4522,69;266,06;0;2896,5;1787,06;979,9189683
Luiz Eduardo Magalhães;Arábica;2016;3000;1225,06;266,06;0;2883,25;1641,66;720,85
Luiz Eduardo Magalhães;Arábica;2017;3000;1599,13;390,5;0;3463,87;2618,3;261,408645
Luiz Eduardo Magalhães;Arábica;2018;3000;1570,07;568,58;0;3688,53;2826;336,18
Luiz Eduardo Magalhães;Arábica;2019;3000;1723,09;568,58;0;3753,6;2823,1;342,42
Luiz Eduardo Magalhães;Arábica;2020;3000;1820,95;566,34;0;5171,96;3748,96;553,42
Luiz Eduardo Magalhães;Arábica;2021;3000;2363,3;615,12;0;11703,5;5574;1427,18
Luiz Eduardo Magalhães;Arábica;2022;3000;2987,98;796,38;0;13304,99;5339;2589,14
Venda Nova do Imigrante;Arábica;2006;0;0;0;0;0;0;0
Venda Nova do Imigrante;Arábica;2007;0;0;0;0;0;0;0
Venda Nova do Imigrante;Arábica;2008;1440;445;2430;0;1013,6;0;259,3498178
Venda Nova do Imigrante;Arábica;2009;1440;445;2993,45;0;1061,6;0;270,221051
Venda Nova do Imigrante;Arábica;2010;1440;540;3522,24;0;1047,2;0;280,1429428
Venda Nova do Imigrante;Arábica;2011;1440;540;3522,69;0;1298,4;0;317,2414148
Venda Nova do Imigrante;Arábica;2012;1440;540;3177;0;1065,4;0;147,6075788
Venda Nova do Imigrante;Arábica;2013;1200;0;3830,21;0;1600;210;198,1013708
Venda Nova do Imigrante;Arábica;2014;1200;550;3272,52;0;1396,8;221,6;315,43
Venda Nova do Imigrante;Arábica;2015;1800;450;4523,01;0;2602,12;273,78;752,15
Venda Nova do Imigrante;Arábica;2016;1800;495;4523,01;0;2280;249,12;793,63
Venda Nova do Imigrante;Arábica;2017;1800;495;3305,79;0;1990;243,12;660,45
Venda Nova do Imigrante;Arábica;2018;2100;197,83;4660;0;4270;292;196,91
Venda Nova do Imigrante;Arábica;2019;2100;260,25;3640;0;4909;256,32;202,57
Venda Nova do Imigrante;Arábica;2020;2100;273,99;4090;0;4348;288,8;261,13
Venda Nova do Imigrante;Arábica;2021;2100;380,48;5055;0;10862,85;613,03;621,64
Venda Nova do Imigrante;Arábica;2022;2100;454,14;8920;0;10837,5;674,98;1162,21
Guaxupé;Arábica;2006;1500;132,28;1612,28;0;699,9;340,1;98,81
Guaxupé;Arábica;2007;1500;129,38;1727,78;0;787,5;348,04;87,01
Guaxupé;Arábica;2008;1500;132,5;1727,78;0;1158,3;411,5;97,8
Guaxupé;Arábica;2009;1800;477,67;4700,68;0;1420,88;713,6;305,4770297
