Município;Ano;Produtividade media;Operação com máquinas;Mão-de-obra temporária;Sementes       ;Fertilizantes  ;Defensivos     ;Juros
São Miguel dos Campos;2009;58913;1267,4;91,5;0,0;376,7;329,0;265,4
São Miguel dos Campos;2010;58913;1267,4;91,5;0,0;247,0;286,0;217,4
São Miguel dos Campos;2011;58913;1256,0;91,5;324,2;295,8;101,2;317,7
São Miguel dos Campos;2012;58913;1375,6;124,4;0,0;389,6;314,7;271,2
São Miguel dos Campos;2013;58913;1523,5;124,6;0,0;372,2;366,0;233,5
São Miguel dos Campos;2014;58913;1614,4;145,0;0,0;346,1;359,7;342,7
São Miguel dos Campos;2015;58913;1728,6;155,3;0,0;416,7;398,4;389,2
São Miguel dos Campos;2016;58913;1680,6;173,5;0,0;388,9;442,1;573,7
São Miguel dos Campos;2017;75384;206,9;235,2;0,0;559,5;368,4;326,8
São Miguel dos Campos;2018;75384;1100,0;15,7;0,0;588,1;688,7;226,4
São Miguel dos Campos;2019;75384;1258,3;17,8;0,0;922,3;770,0;266,0
São Miguel dos Campos;2020;75384;1530,3;17,9;0,0;924,5;766,4;162,3
São Miguel dos Campos;2021;75384;2781,2;11,6;0,0;931,6;668,4;97,2
São Miguel dos Campos;2022;75384;2864,1;12,8;0,0;3439,6;843,3;902,6
São João Evangelista;2009;56667;0,0;1399,4;0,0;74,4;0,0;89,1
São João Evangelista;2010;56667;0,0;1399,4;0,0;74,4;0,0;86,7
São João Evangelista;2011;56667;0,0;1511,3;0,0;71,4;0,0;104,0
São João Evangelista;2012;56667;0,0;1540,8;0,0;74,4;0,0;89,7
São João Evangelista;2013;56667;0,0;1743,5;0,0;92,1;0,0;96,8
São João Evangelista;2014;56667;0,0;2054,4;0,0;107,1;0,0;132,4
São João Evangelista;2015;56667;0,0;2250,2;0,0;115,6;0,0;112,3
São João Evangelista;2016;56667;0,0;2567,9;0,0;163,6;0,0;155,4
São João Evangelista;2017;57142;147,0;1581,0;89,3;453,5;482,0;190,5
São João Evangelista;2018;57142;147,0;1581,0;89,3;453,5;482,0;190,5
São João Evangelista;2019;57142;731,3;1581,0;94,5;553,5;550,0;171,0
São João Evangelista;2020;57142;147,0;1581,0;94,5;473,5;600,0;165,4
São João Evangelista;2021;57142;159,3;1897,2;105,0;613,9;1624,0;190,5
São João Evangelista;2022;57142;183,8;2055,4;157,5;1251,3;1384,9;291,3
Visconde de Rio Branco;2009;68731;3,5;1730,9;0,0;703,3;5,4;233,6
Visconde de Rio Branco;2010;68731;3,6;1475,4;0,0;640,0;5,0;191,9
Visconde de Rio Branco;2011;68731;4,8;1534,4;0,0;640,0;4,9;228,8
Visconde de Rio Branco;2012;68731;6,0;1770,4;0,0;700,0;5,7;270,8
Visconde de Rio Branco;2013;68731;8,4;2065,5;0,0;750,0;5,7;219,9
Visconde de Rio Branco;2014;68731;8,4;2065,5;0,0;750,0;5,7;219,9
Visconde de Rio Branco;2015;68731;9,6;2360,6;0,0;760,0;7,2;299,2
Visconde de Rio Branco;2016;68731;11,9;2655,7;0,0;800,0;8,6;341,3
Visconde de Rio Branco;2017;59035;47,4;2473,1;0,0;469,0;28,0;307,8
Visconde de Rio Branco;2018;59035;52,6;2697,9;0,0;488,3;32,0;197,8
Visconde de Rio Branco;2019;59035;56,3;2922,7;0,0;560,0;38,5;207,9
Visconde de Rio Branco;2020;59035;63,2;3237,5;0,0;630,0;36,0;160,0
Visconde de Rio Branco;2021;59035;63,2;3597,2;0,0;630,0;36,0;113,9
Visconde de Rio Branco;2022;59035;78,9;4001,9;0,0;1680,0;80,0;550,3
Ribeirão;2009;66847;330,6;1001,7;0,0;485,7;140,3;270,4
Ribeirão;2010;66847;337,2;1001,7;0,0;421,6;138,3;255,5
Ribeirão;2011;66847;342,1;1001,7;0,0;483,4;137,8;300,4
Ribeirão;2012;66847;300,1;1118,7;0,0;459,3;137,8;274,1
Ribeirão;2013;66847;319,8;1217,7;0,0;516,2;143,0;263,8
Ribeirão;2014;66847;0,0;0,0;0,0;0,0;0,0;0,0
Ribeirão;2015;66847;212,9;606,2;0,0;492,5;135,8;82,1
Ribeirão;2016;62119;409,1;1128,8;0,0;606,6;180,5;456,9
Ribeirão;2017;62119;410,6;1505,1;0,0;489,3;201,6;430,3
Ribeirão;2018;62119;434,8;1505,1;0,0;534,8;220,3;281,1
Ribeirão;2019;62119;474,6;1505,1;0,0;652,6;251,0;279,6
Ribeirão;2020;62119;499,9;1505,1;0,0;686,7;278,2;206,1
Ribeirão;2021;62119;613,4;1403,5;0,0;983,8;358,5;163,2
Ribeirão;2022;62119;822,3;1505,1;0,0;2033,6;419,8;613,0
Penápolis;2011;78752;388,0;261,0;192,0;547,0;174,1;159,1
Penápolis;2012;78752;334,4;261,0;192,0;547,0;174,1;154,8
Penápolis;2013;78752;375,1;338,6;320,0;735,3;196,7;128,6
Penápolis;2014;78752;404,1;362,4;320,0;700,5;209,7;182,4
Penápolis;2015;78752;315,3;344,0;352,0;594,7;272,1;205,7
Penápolis;2016;78752;436,0;382,4;352,0;757,6;241,5;212,0
Penápolis;2017;81754;289,6;256,1;476,3;628,9;352,0;327,3
Penápolis;2018;81754;313,2;256,1;476,3;636,1;308,7;220,7
Penápolis;2019;81754;256,3;256,1;433,0;686,6;401,8;200,3
Penápolis;2020;81754;249,8;256,1;433,0;727,9;400,3;155,8
Penápolis;2021;81754;249,8;225,2;519,6;777,2;316,1;116,0
Penápolis;2022;81754;249,8;253,3;801,1;2416,1;428,3;466,0
