UF;Ano;Plantada;Colhida;Valor prod;nº trab;Sal. Médio;VBP;CI;VAB
Rondônia;2014;577738;573067;1988582;11636;1218;4990;1399;3591
Rondônia;2015;613623;611967;2003693;12692;1343;5607;1627;3980
Rondônia;2016;626280;608004;2632113;12583;1450;6303;1794;4509
Rondônia;2017;685672;683098;3191718;12773;1525;7212;2018;5194
Rondônia;2018;657384;656737;3049242;12962;1648;7348;2273;5075
Rondônia;2019;740890;740035;3220921;13244;1744;7646;2510;5137
Rondônia;2020;813919;805371;4161641;13216;1775;9379;2942;6437
Acre;2014;123511;117668;660113;3314;1002;1571;383;1188
Acre;2015;116587;107599;549596;3422;1091;1628;409;1219
Acre;2016;107294;106538;579657;3895;1395;1807;456;1351
Acre;2017;100543;97553;514755;3985;1494;1683;442;1241
Acre;2018;85330;82836;457417;3730;1518;1810;702;1107
Acre;2019;81903;79177;424013;3225;1318;2388;1448;940
Acre;2020;81580;79458;441427;3151;1436;3713;2834;879
Amazonas;2014;137654;125850;1272152;3002;1696;3766;566;3200
Amazonas;2015;124636;118257;1361038;3655;1770;4263;615;3648
Amazonas;2016;123625;119475;1653852;3726;1840;4647;687;3960
Amazonas;2017;131242;128292;1720948;3495;1872;4536;760;3776
Amazonas;2018;123073;120557;1616253;3802;1962;4360;831;3529
Amazonas;2019;123121;117817;1684224;3065;2058;4104;819;3286
Amazonas;2020;123071;119128;1597757;3089;2024;4260;884;3375
Roraima;2014;60450;59223;382294;1411;1559;496;145;351
Roraima;2015;65534;65113;540409;1432;1688;674;195;479
Roraima;2016;64121;61462;501402;1367;1463;735;206;529
Roraima;2017;58398;57352;529789;1385;1529;797;228;569
Roraima;2018;75980;75815;420153;1418;1549;846;293;553
Roraima;2019;81597;81597;497933;1533;1535;946;329;617
Roraima;2020;94052;94052;800529;1487;1672;1305;423;882
Pará;2014;1251235;1249770;5623363;48574;1284;13504;2452;11052
Pará;2015;1469263;1468661;10398725;47681;1449;14714;2969;11745
Pará;2016;1567967;1565725;9871141;46502;1570;17922;3277;14645
Pará;2017;1728939;1725643;10702580;48069;1657;17686;3708;13977
Pará;2018;1703136;1698250;10076609;48366;1611;16892;4332;12560
Pará;2019;1820267;1806069;10594343;45377;1446;17281;4760;12522
Pará;2020;2015845;2010218;15271767;45165;1617;22770;5835;16935
Amapá;2014;43172;41258;190601;574;952;213;34;179
Amapá;2015;34499;33704;178796;527;991;207;34;173
Amapá;2016;37651;36232;184125;540;1030;217;36;181
Amapá;2017;42260;41630;209626;606;1445;223;37;186
Amapá;2018;36828;35761;167247;533;1278;187;33;153
Amapá;2019;37334;36306;171625;453;1346;198;36;162
Amapá;2020;38679;38242;168568;496;1393;234;40;193
Tocantins;2014;1038966;1037140;2926575;16939;1250;5523;2335;3188
Tocantins;2015;1203703;1203553;3192857;18564;1365;6303;3024;3279
Tocantins;2016;1232549;1200125;3325347;19271;1536;6539;3085;3454
Tocantins;2017;1282545;1282462;3716582;19475;1616;6884;3168;3716
Tocantins;2018;1361447;1361419;4289680;20317;1662;7527;3773;3753
Tocantins;2019;1427218;1426906;4766828;20948;1615;8339;4158;4181
Tocantins;2020;1544996;1544660;8179470;21807;1853;12637;5101;7536
Maranhão;2014;2006386;2005779;4424252;14772;1259;8983;2547;6436
Maranhão;2015;1829731;1829354;3886487;14453;1353;9399;3115;6283
Maranhão;2016;1597851;1584338;2930141;14864;1472;8074;2899;5174
Maranhão;2017;1810133;1803687;4206998;15875;1617;9919;3357;6562
Maranhão;2018;1821742;1819981;4945689;16216;1678;11008;4119;6889
Maranhão;2019;1722710;1721828;4954816;16748;1663;10981;4523;6458
Maranhão;2020;1719056;1719030;7763999;16837;1833;15812;5186;10626
