Município;Ano;Produtividade media;Operação com máquinas;Mão-de-obra temporária;Sementes       ;Fertilizantes  ;Defensivos     ;Juros
Barreiras;2006;6600;209,1;5,0;210,4;435,1;163,9;51,2
Barreiras;2007;6600;209,1;16,9;194,4;469,0;475,9;53,5
Barreiras;2008;6600;197,0;18,8;216,0;686,8;495,7;63,3
Barreiras;2009;6600;233,3;19,9;236,5;629,7;530,8;51,1
Barreiras;2010;6600;214,9;18,9;365,4;513,7;491,4;49,6
Barreiras;2011;6600;156,0;15,9;410,0;697,3;473,8;118,2
Barreiras;2012;6600;164,4;15,9;450,0;814,5;480,4;126,3
Barreiras;2013;8400;52,2;3,0;576,0;1142,0;203,6;198,9
Barreiras;2014;8400;96,8;2,7;743,4;1135,3;238,6;272,9
Barreiras;2015;8400;106,9;28,6;672,0;1050,0;217,6;316,9
Barreiras;2016;8400;111,7;2,9;576,0;1132,4;220,0;319,2
Barreiras;2017;8400;111,2;5,5;660,0;1020,0;225,8;331,6
Barreiras;2018;8400;131,4;5,5;660,0;1008,0;253,1;80,5
Barreiras;2019;8400;134,1;5,5;625,2;1106,0;269,5;75,3
Barreiras;2020;9600;203,7;1,7;600,0;1706,8;633,5;95,7
Barreiras;2021;9600;214,1;2,0;700,0;2483,8;732,2;87,4
Barreiras;2022;9600;325,0;2,1;800,0;5840,0;1312,1;298,0
Balsas;2006;5250;171,3;5,4;79,6;446,0;144,7;49,3
Balsas;2007;5250;175,5;62,7;117,4;468,7;127,4;42,6
Balsas;2008;5250;191,3;7,2;160,0;1030,0;112,0;74,0
Balsas;2009;5250;188,7;7,2;161,7;790,2;238,0;54,1
Balsas;2010;5250;170,3;6,1;90,0;494,8;74,1;136,4
Balsas;2011;5250;173,9;7,2;96,0;581,3;88,0;170,2
Balsas;2012;5250;178,6;7,2;96,0;581,3;108,8;167,2
Balsas;2013;7200;143,6;0,0;460,0;809,5;222,6;52,6
Balsas;2014;7200;158,5;0,0;400,0;930,3;225,4;57,2
Balsas;2015;7200;197,2;0,0;440,0;1085,4;349,8;75,5
Balsas;2016;7200;190,8;0,0;484,0;1116,5;291,2;77,1
Balsas;2017;7200;217,1;0,0;561,0;951,5;319,1;76,8
Balsas;2018;7200;243,6;0,0;620,0;932,5;316,8;76,7
Balsas;2019;7200;238,8;0,0;513,6;1258,3;301,3;80,3
Balsas;2020;4250;308,4;1,8;400,0;349,0;354,4;22,7
Balsas;2021;4250;354,5;1,8;400,0;572,0;422,5;18,2
Balsas;2022;4250;514,6;3,6;850,0;1077,7;784,0;65,4
Unaí;2006;6000;185,4;0,6;101,9;415,3;244,1;24,1
Unaí;2007;6500;202,4;0,6;118,1;630,1;202,3;30,1
Unaí;2008;6500;209,1;0,8;176,0;1067,9;249,9;45,5
Unaí;2009;6500;223,8;0,8;185,1;686,7;243,7;55,7
Unaí;2010;6500;221,6;0,9;192,0;590,0;205,1;39,1
Unaí;2011;6500;220,2;0,9;203,2;731,0;157,8;43,5
Unaí;2012;6500;235,8;1,1;199,5;755,1;200,6;45,9
Unaí;2013;6500;246,5;1,5;220,0;824,2;217,7;40,6
Unaí;2014;9000;164,8;0,0;576,9;1032,4;473,3;58,2
Unaí;2015;9000;193,7;0,0;634,3;1128,7;673,0;90,8
Unaí;2016;9000;198,2;0,0;634,3;1113,7;674,7;90,8
Unaí;2017;9000;214,0;0,0;646,0;1096,2;686,7;97,0
Unaí;2018;9000;234,8;0,0;646,0;1083,8;699,1;90,6
Unaí;2019;9000;245,6;0,0;554,5;1222,5;715,7;81,5
Unaí;2020;6000;249,3;0,0;330,3;608,1;373,1;63,8
Unaí;2021;6000;286,9;0,0;365,2;850,7;452,1;54,2
Unaí;2022;6000;412,2;0,0;580,5;2300,4;661,2;187,1
Chapadão do Sul;2006;0;0,0;0,0;0,0;0,0;0,0;0,0
Chapadão do Sul;2007;8000;74,6;0,0;162,2;290,9;456,6;40,4
Chapadão do Sul;2008;8000;83,8;0,0;157,0;587,3;499,5;51,4
Chapadão do Sul;2009;8000;83,6;0,0;199,0;387,8;487,2;39,9
Chapadão do Sul;2010;8000;81,0;0,0;350,0;343,0;388,8;63,9
Chapadão do Sul;2011;8000;84,3;0,0;371,0;402,2;344,9;79,9
Chapadão do Sul;2012;8000;85,7;0,0;381,6;348,6;364,2;73,6
Chapadão do Sul;2013;8000;88,1;0,0;420,0;381,5;388,5;60,3
Chapadão do Sul;2014;9000;91,9;0,0;420,0;744,6;301,6;70,3
Chapadão do Sul;2015;9600;105,9;0,0;458,0;964,0;563,4;92,7
Chapadão do Sul;2016;9600;116,4;0,0;500,0;932,5;463,9;90,0
Chapadão do Sul;2017;9600;110,3;0,0;540,0;930,3;449,2;90,9
Chapadão do Sul;2018;9600;131,7;0,0;520,0;913,4;430,8;89,7
Chapadão do Sul;2019;6000;106,2;0,0;500,0;635,6;542,3;60,5
Chapadão do Sul;2020;6000;125,6;0,0;520,0;485,4;376,4;57,6
Chapadão do Sul;2021;6000;120,4;0,0;545,0;982,1;693,3;59,8
Chapadão do Sul;2022;6000;185,4;0,0;700,0;2390,0;922,3;159,7
Primavera do Leste;2006;6000;156,7;22,2;180,0;421,1;198,5;38,2
Primavera do Leste;2007;6000;161,6;22,2;180,0;546,1;200,9;44,1
Primavera do Leste;2008;6000;152,5;22,2;162,5;685,4;178,6;37,7
Primavera do Leste;2009;6000;181,8;23,8;230,0;774,2;165,9;43,4
Primavera do Leste;2010;6000;166,4;23,8;286,3;552,9;101,5;35,3
Primavera do Leste;2011;6000;180,3;34,9;194,0;579,6;90,8;50,7
Primavera do Leste;2012;6000;193,0;39,7;194,0;807,5;113,9;61,8
Primavera do Leste;2013;6000;181,2;52,8;210,4;854,5;115,0;52,9
Primavera do Leste;2014;6000;82,7;0,0;430,0;591,8;246,4;44,8
Primavera do Leste;2015;6000;109,1;0,0;430,0;658,8;325,9;64,6
Primavera do Leste;2016;6000;116,8;0,0;430,0;657,9;328,8;65,2
Primavera do Leste;2017;6000;122,0;0,0;450,0;574,2;299,9;65,0
Primavera do Leste;2018;6000;122,0;0,0;450,0;588,0;270,4;34,8
