Município;Ano;Produtividade media;Operação com máquinas;Mão-de-obra temporária;Sementes       ;Fertilizantes  ;Defensivos     ;Juros
São Gotardo;2009;5100;1023,29;12,44;216;578,93;108,87;52
São Gotardo;2010;5100;1024,41;13,56;171;491,5;115,21;46,56
São Gotardo;2011;5100;1042,89;15,83;180;625,85;91,26;54,03
São Gotardo;2012;5100;0;0;0;0;0;0
São Gotardo;2013;5100;1049,56;18,08;255,6;733,26;107,98;62,9
São Gotardo;2014;5100;0;0;0;0;0;0
São Gotardo;2015;5100;0;0;0;0;0;0
São Gotardo;2016;5100;1000,49;490;930,01;485,82;88,33;
São Gotardo;2017;5100;1060,38;36,32;420;875,27;499,94;87,38
São Gotardo;2018;5100;1168,15;33,72;380;874,41;455,37;86,22
São Gotardo;2019;5100;1212,97;44,09;500;972,75;490,84;92,22
São Gotardo;2020;5100;1218,42;44,09;480;1107,09;484,1;59,35
São Gotardo;2021;5100;1337,14;49,3;480;1650;522,24;39,28
São Gotardo;2022;5100;1642,88;53,2;510;3407,5;821,21;215,72
Ubiratã;2009;2250;101,62;5,19;176;366,5;207,09;28,1424292
Ubiratã;2010;2250;97,23;6,08;195,2;266;154,93;23,36792166
Ubiratã;2011;2250;102,41;6,08;142,4;265;130,62;21,36
Ubiratã;2012;2250;89,42;5,11;152;337,5;142,77;22,32
Ubiratã;2013;2250;65,49;8,28;202,95;492,06;217,28;41,34063464
Ubiratã;2014;2500;69,27;22,02;387,75;479,92;236,99;36,26
Ubiratã;2015;2500;73,65;22,02;198;618,95;256,88;41,59
Ubiratã;2016;2500;77,76;22,02;222,75;584,55;248,59;41,25
Ubiratã;2017;2500;82,42;22,02;214,5;490,5;248,85;39,36
Ubiratã;2018;2500;82,66;22,02;237,6;482,5;231,31;37,85
Ubiratã;2019;3000;241,16;0;277,5;480,05;365,03;62,03
Ubiratã;2020;3000;261,21;0;314,5;563,2;385,07;76,38
Ubiratã;2021;3000;318,29;0;469,9;906,75;420,64;72,56
Ubiratã;2022;3000;492,12;0;671,55;1984,25;739;192,6
Londrina;2009;2600;282,23;18,66;155,1;366,9;184,84;34,53734886
Londrina;2010;2600;255,81;18,66;247,5;248,8;129,72;29,57192842
Londrina;2011;2600;269,5;19,24;231;313,45;127,1;38,43
Londrina;2012;2600;283,95;14,15;161,7;360,37;149,5;31,03
Londrina;2013;2600;352,11;22,37;189,75;337,01;169,8;31,26
Londrina;2014;2600;212,4;72,53;400;406,81;193,92;40,05
Londrina;2015;2600;232,49;72,53;224;539,6;243,4;41,9
Londrina;2016;2600;239,47;72,67;296;479,95;226,98;42,01
Londrina;2017;2600;249,07;74,61;291,2;456,35;243,88;42,25
Londrina;2018;2600;290,72;142,97;320;481,52;273,38;47,94
Londrina;2019;3117;222,34;15,32;335,67;637,73;533,87;45,32
Londrina;2020;3117;253,09;16,28;343,34;702,49;553,18;40,53
Londrina;2021;3117;275,22;16,28;364,1;881,27;692,53;30,3
Londrina;2022;3117;438,15;22,98;492,8;2234,89;988,04;134,32
Cascavel;2009;2400;104,4;45,31;178,2;410,87;261,87;91,04921414
Cascavel;2010;2400;102,23;9,62;202,3;375,3;150,09;78,25245549
Cascavel;2011;2400;94,74;10,44;167;453,31;130,21;26,63
Cascavel;2012;2400;83,71;17,13;150,3;468,3;137,55;25,66
Cascavel;2013;2800;105,81;11,95;260,8;505,3;191,47;45,55556004
Cascavel;2014;2800;111,71;21,17;320;521,4;223,12;50,02
Cascavel;2015;2800;123,64;24,68;192;652,3;254,47;63,12
Cascavel;2016;2800;130,01;26,42;256;634,4;254,04;66,13
Cascavel;2017;2800;133,81;28,2;232;511,48;246,92;62,28
Cascavel;2018;2800;152,66;29,98;216;532,8;253,92;60,28
Cascavel;2019;3180;150,11;0;360;720,8;391,06;68,2
Cascavel;2020;3180;165,08;0;342;615,3;428,57;73,92
Cascavel;2021;3180;171,69;0;486;1114,68;488,01;74,62
Cascavel;2022;3180;269,9;0;684;1748,1;672,53;150,83
Passo Fundo;2009;2400;127,42;8,64;160,5;335,13;198,73;32,33133464
